704.82,1096.51,366.82,1143.23,564.59,1065.82,2141.48,151.58,446.06,646.51,978.81,1073.94,607.17,1139.73,970.96,1275.67,1362.84,581.46,745.65,1163.86,1077.12,650.43,1712.79,694.82,1314.66,1669.11,912.46,586.37,3645.33,1514.64,1280.04,2751.54,2024.87,1789.49,602.41,1394.35,732.3,847.8,1026.27,880.77,1823.84,1351.58,1015.27,1232.5
1107.72,1714.22,1193.46,823.66,1032.89,737.32,1811.67,1280.26,1441.23,928.14,1071.27,749.83,986.05,486.44,585.51,1712.09,203.3,1279.88,1371.46,792.56,747.97,1540.05,1236.76,851.27,602.98,545.77,1777.59,1076.83,2521.99,1195.19,2145.17,1628.2,2406.47,2095.0,1543.96,976.63,1448.58,1465.52,1724.69,932.35,700.5,1032.13,1731.55,1555.6
1259.42,1759.63,1345.16,975.36,1078.29,889.02,2002.44,1325.67,1486.64,1079.84,1222.96,890.06,1106.91,573.72,630.92,1902.86,347.79,1325.29,1523.15,794.27,899.66,1691.75,1427.54,896.67,457.24,828.43,1929.29,1193.28,2804.66,1346.89,2296.86,1910.87,2597.25,2285.78,1691.44,632.4,1600.28,1510.92,1770.1,1084.04,703.97,1180.33,1883.24,1707.3
882.24,809.02,629.3,1320.65,736.2,1009.15,2018.34,414.06,574.5,823.93,1156.23,1017.27,772.29,1200.38,849.26,1152.52,1241.13,400.16,923.07,1341.28,1254.54,852.34,1672.89,573.11,1418.43,1547.4,1022.65,546.47,3523.62,1692.06,1457.46,2629.84,1901.73,1666.35,779.83,1571.77,909.72,560.32,903.13,1058.19,1702.14,1529.0,1192.69,1409.93
2087.17,1870.9,1834.23,2410.75,1796.88,2069.82,591.1,1618.99,1709.88,1961.51,2341.01,2077.95,1832.97,2073.53,1909.93,464.58,2000.94,1236.35,2128.0,2379.65,2335.05,2036.24,1345.81,1633.78,2285.62,1844.31,2096.75,1159.52,3651.06,2782.28,2662.39,2757.27,750.93,239.11,1984.77,2674.31,2114.66,1595.41,1007.67,2263.12,2153.36,2619.22,2397.62,2614.86
1295.94,832.08,1043.0,1734.35,1100.68,1373.62,1736.77,827.76,847.09,1237.63,1569.93,1381.74,1136.77,1564.85,1213.73,870.96,1605.6,417.87,1336.77,1754.98,1668.24,1031.58,2037.36,937.58,1782.9,1911.87,1057.93,910.94,3888.09,2105.76,1857.8,2994.31,1620.16,1384.79,1193.53,1985.47,1323.42,526.92,324.23,1471.88,2066.61,1942.7,1606.39,1823.62
618.92,1559.91,704.66,569.77,606.22,414.23,2285.0,835.0,1128.24,439.34,454.26,422.36,497.25,558.11,691.07,1904.49,838.89,1210.28,923.84,582.24,425.08,1051.25,1710.09,843.07,733.04,1145.16,1288.78,1215.19,3121.38,941.18,1656.36,2227.59,2653.69,2418.32,1055.16,812.73,1117.13,1476.62,1655.09,159.15,1299.89,778.12,1400.09,1166.59
302.63,1265.85,410.6,666.35,266.18,588.93,2372.02,540.94,834.19,30.33,449.7,597.06,160.73,662.84,700.28,1610.43,943.62,916.22,629.78,686.97,600.23,757.19,1797.11,482.97,837.77,1249.9,994.72,847.74,3226.12,1037.76,1362.3,2332.33,2359.63,2070.14,761.1,917.47,927.52,1165.39,1361.03,403.88,1404.63,874.7,1210.49,1261.73
705.44,1299.26,791.18,757.54,545.67,328.87,2083.39,865.31,1026.27,532.1,722.72,336.99,551.78,741.5,433.64,1559.13,838.69,864.92,1010.36,872.58,691.43,1137.77,1508.48,436.31,980.35,1144.96,1375.31,732.92,3121.18,1128.95,1742.89,2227.39,2266.78,1955.31,1141.68,1103.07,1308.1,1050.56,1309.73,544.97,1299.69,965.89,1591.07,1534.74
382.16,1323.15,467.9,625.24,369.46,485.48,2348.63,598.24,891.49,223.82,494.65,493.61,260.49,621.74,699.68,1667.73,902.52,973.52,687.08,645.87,559.13,814.49,1773.72,606.32,796.67,1208.79,1052.03,950.57,3185.01,996.65,1419.6,2291.22,2416.93,2172.96,818.4,876.36,984.82,1239.87,1418.33,318.26,1363.52,833.59,1267.79,1306.68
1165.55,1155.69,913.43,1435.39,866.63,1139.57,1569.59,698.19,859.15,1031.27,1410.77,1147.7,902.72,1098.17,962.55,834.68,1025.58,721.34,1207.19,1404.29,1359.69,1136.47,1139.55,672.45,1310.26,1331.85,1369.31,229.27,3308.07,1806.92,1741.58,2414.29,1529.07,1217.6,1063.96,1698.95,1193.85,906.98,1166.16,1342.31,1486.58,1643.86,1476.81,1694.05
676.14,1338.94,761.87,704.21,585.35,275.54,2111.11,892.21,1065.95,517.79,693.41,283.66,554.47,731.19,423.32,1598.81,839.37,904.6,981.06,823.76,638.1,1108.47,1536.2,475.99,935.83,1145.64,1346.0,772.6,3121.86,1075.62,1713.58,2228.08,2306.46,1994.99,1112.38,1066.9,1278.8,1090.24,1349.41,508.13,1300.38,912.56,1561.76,1490.27
