,0,1,2
0,18_04,3507.32,3770.1980000000003
1,17_69,2499.9674999999997,2723.7185
2,17_41,2499.9674999999997,2723.7185
3,17_55,-1,-1
4,22_11,2774.6066666666666,3007.0813333333335
5,17_82,3163.125,3425.9990000000003
6,17_83,3163.125,3425.9990000000003
7,22_10,1558.288,1828.4624
8,17_54,2774.6066666666666,3007.0813333333335
9,17_40,3163.125,3425.9990000000003
10,17_68,1919.9072222222223,2197.7129999999997
11,18_11,3163.125,3425.9990000000003
12,18_05,-1,-1
13,18_39,2774.6066666666666,3007.0813333333335
14,3_02,3163.125,3425.9990000000003
15,20_03,3163.125,3425.9990000000003
16,16_02,2499.9674999999997,2723.7185
17,18_13,3507.32,3770.1980000000003
18,17_56,-1,-1
19,17_42,2499.9674999999997,2723.7185
20,22_12,-1,-1
21,17_81,-1,-1
22,17_80,1606.2441666666666,1884.8276666666668
23,22_07,1748.0099999999998,2020.8765
24,17_57,3507.32,3770.1980000000003
25,9800,2499.9674999999997,2723.7185
26,18_06,-1,-1
27,18_12,3163.125,3425.9990000000003
28,16_03,3507.32,3770.1980000000003
29,20_02,3163.125,3425.9990000000003
30,3_05,-1,-1
31,14_02,3163.125,3425.9990000000003
32,17_53,-1,-1
33,17_47,3507.32,3770.1980000000003
34,17_84,2034.7699999999998,2283.6023333333333
35,22_02,2499.9674999999997,2723.7185
36,17_85,3163.125,3425.9990000000003
37,1_01,-1,-1
38,17_46,3163.125,3425.9990000000003
39,17_52,3507.32,3770.1980000000003
40,14_03,-1,-1
41,12,3507.32,3770.1980000000003
42,16_06,3507.32,3770.1980000000003
43,18_17,2774.6066666666666,3007.0813333333335
44,3_04,3507.32,3770.1980000000003
45,3_06,3163.125,3425.9990000000003
46,20_05,-1,-1
47,18_29,3163.125,3425.9990000000003
48,16_04,3163.125,3425.9990000000003
49,10,3163.125,3425.9990000000003
50,13_08,3507.32,3770.1980000000003
51,14_01,3163.125,3425.9990000000003
52,17_50,3507.32,3770.1980000000003
53,17_78,2499.9674999999997,2723.7185
54,22_01,3507.32,3770.1980000000003
55,17_86,-1,-1
56,17_79,2244.272,2494.4696
57,17_51,3507.32,3770.1980000000003
58,17_45,3163.125,3425.9990000000003
59,1_02,3163.125,3425.9990000000003
60,11,3507.32,3770.1980000000003
61,16_05,-1,-1
62,18_28,2499.9674999999997,2723.7185
63,20_04,2774.6066666666666,3007.0813333333335
64,3_07,3507.32,3770.1980000000003
65,9_01,3163.125,3425.9990000000003
66,24_07,-1,-1
67,24_13,3163.125,3425.9990000000003
68,17_22,-1,-1
69,17_37,2774.6066666666666,3007.0813333333335
70,24_12,3507.32,3770.1980000000003
71,9_02,3163.125,3425.9990000000003
72,18_58,2499.9674999999997,2723.7185
73,18_64,3507.32,3770.1980000000003
74,24_10,2774.6066666666666,3007.0813333333335
75,23_19,3163.125,3425.9990000000003
76,21_08,2499.9674999999997,2723.7185
77,19_18,-1,-1
78,19_19,2774.6066666666666,3007.0813333333335
79,21_09,2774.6066666666666,3007.0813333333335
80,24_11,-1,-1
81,23_18,3507.32,3770.1980000000003
82,18_59,1748.0099999999998,2020.8765
83,18_61,-1,-1
84,18_49,-1,-1
85,24_29,3163.125,3425.9990000000003
86,23_08,-1,-1
87,17_18,3507.32,3770.1980000000003
88,17_19,3163.125,3425.9990000000003
89,19_08,-1,-1
90,24_28,2244.272,2494.4696
91,18_48,2499.9674999999997,2723.7185
92,18_60,3507.32,3770.1980000000003
93,18_62,2774.6066666666666,3007.0813333333335
94,24_02,-1,-1
95,17_33,2244.272,2494.4696
96,24_03,3507.32,3770.1980000000003
97,18_63,-1,-1
98,18_46,3507.32,3770.1980000000003
99,24_26,3163.125,3425.9990000000003
100,24_32,2034.7699999999998,2283.6023333333333
101,23_13,3163.125,3425.9990000000003
102,23_07,3507.32,3770.1980000000003
103,5,3163.125,3425.9990000000003
104,19_12,2034.7699999999998,2283.6023333333333
105,17_16,2034.7699999999998,2283.6023333333333
106,19_13,2774.6066666666666,3007.0813333333335
107,23_12,-1,-1
108,24_33,1558.288,1828.4624
109,24_27,3507.32,3770.1980000000003
110,18_53,3507.32,3770.1980000000003
111,18_47,-1,-1
112,15_05,2499.9674999999997,2723.7185
113,18_51,2499.9674999999997,2723.7185
114,18_45,3507.32,3770.1980000000003
115,24_31,2499.9674999999997,2723.7185
116,24_25,2499.9674999999997,2723.7185
117,23_04,2499.9674999999997,2723.7185
118,23_10,2499.9674999999997,2723.7185
119,24_19,3163.125,3425.9990000000003
120,17_28,3163.125,3425.9990000000003
121,19_11,2774.6066666666666,3007.0813333333335
122,17_14,2499.9674999999997,2723.7185
123,19_10,2774.6066666666666,3007.0813333333335
124,17_29,-1,-1
125,7,-1,-1
126,2_03,-1,-1
127,24_24,3163.125,3425.9990000000003
128,24_30,3507.32,3770.1980000000003
129,18_44,3507.32,3770.1980000000003
130,18_50,3163.125,3425.9990000000003
131,15_04,3163.125,3425.9990000000003
132,18_54,1617.6372727272726,1892.3983636363637
133,18_40,3163.125,3425.9990000000003
134,23_15,3163.125,3425.9990000000003
135,24_34,2034.7699999999998,2283.6023333333333
136,21_04,3507.32,3770.1980000000003
137,21_10,3163.125,3425.9990000000003
138,17_05,2774.6066666666666,3007.0813333333335
139,19_14,2499.9674999999997,2723.7185
140,19_15,2499.9674999999997,2723.7185
141,17_38,3163.125,3425.9990000000003
142,19_01,2499.9674999999997,2723.7185
143,21_11,3163.125,3425.9990000000003
144,21_05,3507.32,3770.1980000000003
145,2_06,3163.125,3425.9990000000003
146,24_21,3163.125,3425.9990000000003
147,24_35,1748.0099999999998,2020.8765
148,23_14,3507.32,3770.1980000000003
149,24_09,3163.125,3425.9990000000003
150,18_41,-1,-1
151,18_55,2499.9674999999997,2723.7185
152,15_01,-1,-1
153,15_03,-1,-1
154,18_43,3507.32,3770.1980000000003
155,18_57,-1,-1
156,23_16,3163.125,3425.9990000000003
157,24_23,-1,-1
158,2_04,3507.32,3770.1980000000003
159,21_13,3163.125,3425.9990000000003
160,21_07,2774.6066666666666,3007.0813333333335
161,17_06,3163.125,3425.9990000000003
162,17_12,-1,-1
163,19_17,2244.272,2494.4696
164,19_16,-1,-1
165,17_13,3507.32,3770.1980000000003
166,17_07,-1,-1
167,21_06,3507.32,3770.1980000000003
168,21_12,3163.125,3425.9990000000003
169,2_05,2774.6066666666666,3007.0813333333335
170,24_36,1748.0099999999998,2020.8765
171,24_22,3163.125,3425.9990000000003
172,23_17,3163.125,3425.9990000000003
173,18_56,2034.7699999999998,2283.6023333333333
174,18_42,2034.7699999999998,2283.6023333333333
175,18_19,-1,-1
176,13_04,3163.125,3425.9990000000003
177,17_48,2774.6066666666666,3007.0813333333335
178,8_03,3163.125,3425.9990000000003
179,17_60,2244.272,2494.4696
180,17_74,2499.9674999999997,2723.7185
181,17_75,2774.6066666666666,3007.0813333333335
182,17_61,-1,-1
183,8_02,3507.32,3770.1980000000003
184,17_49,-1,-1
185,13_05,3163.125,3425.9990000000003
186,18_24,3163.125,3425.9990000000003
187,18_18,3163.125,3425.9990000000003
188,4_02,2774.6066666666666,3007.0813333333335
189,18_32,-1,-1
190,18_26,3163.125,3425.9990000000003
191,13_07,3163.125,3425.9990000000003
192,17_77,-1,-1
193,8_01,3507.32,3770.1980000000003
194,17_76,-1,-1
195,6_04,3163.125,3425.9990000000003
196,18_33,2499.9674999999997,2723.7185
197,4_01,2499.9674999999997,2723.7185
198,18_23,3163.125,3425.9990000000003
199,17_72,2774.6066666666666,3007.0813333333335
200,17_66,1822.987142857143,2105.983714285714
201,6_01,3163.125,3425.9990000000003
202,8_04,-1,-1
203,17_73,2499.9674999999997,2723.7185
204,13_03,3507.32,3770.1980000000003
205,18_22,3163.125,3425.9990000000003
206,18_20,3163.125,3425.9990000000003
207,18_34,2244.272,2494.4696
208,25,3163.125,3425.9990000000003
209,17_65,1630.4944444444443,1901.8653333333334
210,17_71,3163.125,3425.9990000000003
211,6_03,3507.32,3770.1980000000003
212,22_09,1630.4944444444443,1901.8653333333334
213,22_08,3163.125,3425.9990000000003
214,17_70,2499.9674999999997,2723.7185
215,17_64,1824.3412500000002,2104.013625
216,18_35,3507.32,3770.1980000000003
217,18_21,3163.125,3425.9990000000003
